Ћ≥тера;„астота
 ;0.16821271522969677
п;0.02282757150639077
р;0.03479793474227699
е;0.07244586198457373
с;0.044030805182091626
т;0.05386367404296304
у;0.024666053510385498
л;0.038233123070728764
н;0.05414196278430846
и;0.05394360804313673
а;0.06626528614398383
к;0.0274736119115476
з;0.012808189978447425
г;0.014050620919418633
ь;0.019321330733340174
ы;0.0137368059557738
й;0.0083299122897045
о;0.09543428833082018
м;0.026153220649419343
в;0.03848279346633298
ж;0.00949043555148539
ю;0.00467268507188139
б;0.014465093512911809
д;0.026633811489969763
ч;0.015059170896918692
э;0.002933873858226689
ц;0.002306243930937024
€;0.017771992705282354
х;0.007077612953650122
ш;0.006846692508703924
ф;0.0010351946442246204
щ;0.0024878224004673674
