Character,Number of characters,Frequency
 ,169195,0.16716560950066198
à,67149,0.06634358883158456
á,14658,0.01448218625881795
â,38996,0.03852826684055565
ã,14238,0.014067223901831762
ä,26989,0.026665283458810047
å,73412,0.07253146797873812
¸,65,6.42203647716719e-05
æ,9617,0.009501649969371827
ç,12979,0.012823324836485071
è,54663,0.054007350761752324
é,8441,0.0083397553698105
ê,27840,0.02750607623451301
ë,38743,0.03827830142075207
ì,26502,0.026184124725828442
í,54864,0.054205939889738576
î,96707,0.09554705870729346
ï,23132,0.022854545813820223
ð,35262,0.034839053885826074
ñ,44618,0.044082834390499336
ò,54582,0.0539273223071907
ó,24995,0.024695200268737526
ô,1049,0.0010364178868535973
õ,7172,0.007085976248345091
ö,2337,0.002308969114944573
÷,15260,0.015076965637164819
ø,6938,0.006854782935167072
ù,2521,0.002490762147528998
ú,204,0.00020155314482186258
û,13920,0.013753038117256505
ü,19375,0.019142608730017587
ý,2973,0.002937340684095086
þ,4735,0.00467820657221333
ÿ,18009,0.017792993064200603
Total,1012140
Entropy,4.358567940629929
Redundancy,0.1432727713921288
