 ,0.16094926385939878
а,0.07037538419357904
б,0.014490699127162039
в,0.03862420921939965
г,0.017397562658798715
д,0.025516840647485935
е,0.06683449415745354
ж,0.008499382330444644
з,0.01494246248416881
и,0.055752271668673636
й,0.009661504621227581
к,0.030088997381330335
л,0.042467313363315884
м,0.02480180829967177
н,0.054674270830574724
о,0.09538593832028153
п,0.02155690115261968
р,0.03823631585424556
с,0.04377742709863552
т,0.04765324514081776
у,0.024057177662950263
ф,0.001878712443276437
х,0.007158112501538332
ц,0.003394456396268123
ч,0.011434286346309327
ш,0.00792455240377051
щ,0.0023538428704732144
ъ,0.0004408587242514359
ы,0.015925437236828374
ь,0.016342928890889803
э,0.002536106017955257
ю,0.005442969549591933
я,0.019424266546611852
